,carat,cut,color,clarity,depth,table,price,'x','y','z'
26546,2.01,b'Good',b'F',b'SI2',58.1,64.0,16231.0,8.23,8.19,4.77
9159,1.01,b'Very Good',b'E',b'SI2',60.0,60.0,4540.0,6.57,6.49,3.92
14131,1.1,b'Premium',b'H',b'VS2',62.5,58.0,5729.0,6.59,6.54,4.1
15757,1.5,b'Good',b'E',b'SI2',61.5,65.0,6300.0,7.21,7.17,4.42
24632,1.52,b'Very Good',b'G',b'VS1',62.1,57.0,12968.0,7.27,7.32,4.53
49828,0.56,b'Premium',b'G',b'VVS1',59.7,59.0,2167.0,5.41,5.35,3.21
38682,0.3,b'Ideal',b'F',b'VVS1',61.9,55.0,1041.0,4.32,4.34,2.68
44604,0.53,b'Ideal',b'G',b'VS2',61.8,56.0,1607.0,5.21,5.18,3.21
11459,1.15,b'Ideal',b'G',b'VS2',62.2,54.0,5008.0,6.74,6.65,4.17
2495,0.51,b'Ideal',b'E',b'VVS1',61.3,56.0,3197.0,5.13,5.21,3.17
39086,0.34,b'Ideal',b'E',b'VS1',62.4,54.0,1060.0,4.49,4.45,2.79
6428,1.02,b'Premium',b'D',b'SI2',61.3,62.0,4044.0,6.46,6.42,3.95
12515,1.01,b'Premium',b'H',b'VS2',61.3,59.0,5260.0,6.45,6.41,3.94
15262,1.11,b'Ideal',b'D',b'SI2',61.3,56.0,6129.0,6.68,6.74,4.12
39478,0.41,b'Ideal',b'E',b'VS1',61.7,55.0,1079.0,4.75,4.78,2.94
45355,0.52,b'Ideal',b'D',b'VS2',61.4,56.0,1664.0,5.16,5.19,3.18
24969,2.01,b'Good',b'I',b'SI1',64.1,62.0,13464.0,7.85,7.94,5.06
24157,1.51,b'Premium',b'H',b'VVS1',60.6,60.0,12336.0,7.42,7.4,4.49
30199,0.42,b'Good',b'F',b'SI1',63.3,56.0,722.0,4.75,4.79,3.02
1826,0.72,b'Very Good',b'F',b'VS1',62.1,59.0,3059.0,5.69,5.74,3.55
29303,0.3,b'Ideal',b'I',b'VS2',62.0,55.0,438.0,4.3,4.35,2.68
43243,0.38,b'Ideal',b'D',b'VVS1',61.8,56.0,1400.0,4.63,4.66,2.87
4651,0.9,b'Very Good',b'G',b'SI1',63.2,59.0,3669.0,6.1,6.05,3.84
3910,0.54,b'Ideal',b'D',b'VVS1',61.2,57.0,3494.0,5.25,5.27,3.22
47519,0.38,b'Ideal',b'D',b'VVS1',60.3,56.0,1867.0,4.72,4.74,2.85
43761,0.41,b'Ideal',b'F',b'IF',61.9,56.0,1439.0,4.78,4.81,2.97
20363,1.7,b'Ideal',b'J',b'SI1',60.9,57.0,8758.0,7.73,7.66,4.69
24986,1.72,b'Good',b'F',b'SI1',64.3,60.0,13499.0,7.52,7.56,4.85
38980,0.36,b'Good',b'E',b'IF',57.7,54.0,1053.0,4.74,4.79,2.75
11065,0.34,b'Premium',b'E',b'SI1',61.8,58.0,596.0,4.47,4.5,2.77
47718,0.52,b'Ideal',b'E',b'VS1',61.3,56.0,1886.0,5.18,5.22,3.19
21719,0.32,b'Ideal',b'H',b'VVS2',61.6,55.0,628.0,4.43,4.46,2.74
2012,0.78,b'Premium',b'D',b'SI1',61.8,59.0,3103.0,5.93,5.88,3.65
27554,1.7,b'Premium',b'E',b'VS2',58.6,62.0,18342.0,7.92,7.84,4.62
7225,1.04,b'Good',b'H',b'SI2',57.9,58.0,4193.0,6.72,6.68,3.88
16582,1.01,b'Very Good',b'E',b'VS2',59.9,57.0,6622.0,6.52,6.57,3.92
36096,0.32,b'Ideal',b'F',b'VVS1',62.1,56.0,926.0,4.39,4.43,2.74
50668,0.31,b'Ideal',b'G',b'VS2',59.6,57.0,544.0,4.4,4.43,2.63
6857,0.9,b'Very Good',b'I',b'VS1',62.6,59.0,4126.0,6.11,6.15,3.84
39639,0.49,b'Premium',b'E',b'SI1',61.5,58.0,1084.0,5.08,5.06,3.12
34637,0.31,b'Premium',b'E',b'VS2',60.0,59.0,872.0,4.39,4.35,2.62
21203,1.23,b'Very Good',b'F',b'VS1',60.6,58.0,9346.0,6.88,6.95,4.19
49006,0.53,b'Ideal',b'G',b'VVS2',61.7,56.0,2051.0,5.23,5.2,3.22
39598,0.34,b'Ideal',b'E',b'VVS1',61.9,56.0,1084.0,4.51,4.47,2.78
41220,0.43,b'Very Good',b'G',b'VVS1',62.3,59.0,1207.0,4.77,4.83,2.99
6407,1.02,b'Very Good',b'H',b'SI2',61.1,61.0,4039.0,6.48,6.51,3.97
219,0.53,b'Very Good',b'D',b'VVS2',57.5,64.0,2782.0,5.34,5.37,3.08
18046,0.35,b'Ideal',b'H',b'VS1',62.0,56.0,614.0,4.54,4.56,2.82
11400,1.19,b'Ideal',b'I',b'SI1',62.3,57.0,4998.0,6.78,6.73,4.21
45069,0.71,b'Very Good',b'J',b'SI1',60.7,58.0,1643.0,5.78,5.81,3.52
2289,0.9,b'Very Good',b'H',b'SI2',61.1,63.0,3160.0,6.12,6.19,3.76
20196,1.53,b'Ideal',b'I',b'SI2',61.9,58.0,8637.0,7.39,7.34,4.56
48053,0.72,b'Ideal',b'I',b'SI2',60.7,60.0,1927.0,5.75,5.78,3.5
34665,0.31,b'Ideal',b'E',b'VS2',61.7,56.0,872.0,4.35,4.31,2.67
29922,0.32,b'Ideal',b'E',b'VS1',61.1,56.0,713.0,4.42,4.45,2.71
48317,0.34,b'Very Good',b'G',b'SI1',61.2,54.0,536.0,4.53,4.56,2.78
2342,0.78,b'Ideal',b'G',b'VS2',62.2,57.0,3171.0,5.87,5.9,3.66
3905,0.72,b'Ideal',b'G',b'VVS1',62.2,54.4,3492.0,5.73,5.76,3.57
23158,1.3,b'Ideal',b'G',b'VVS2',62.0,57.0,11175.0,7.03,6.96,4.34
16887,1.2,b'Ideal',b'D',b'SI2',61.7,56.0,6740.0,6.88,6.81,4.22
15944,1.24,b'Premium',b'E',b'SI2',61.1,59.0,6377.0,6.99,6.89,4.24
9978,1.32,b'Premium',b'I',b'SI2',60.8,58.0,4704.0,7.03,7.11,4.3
16617,1.0,b'Premium',b'F',b'VS2',61.9,59.0,6640.0,6.41,6.36,3.95
20088,1.18,b'Ideal',b'G',b'VS2',62.7,55.0,8564.0,6.77,6.74,4.23
36300,0.32,b'Ideal',b'H',b'VVS1',60.4,57.0,936.0,4.46,4.42,2.68
23048,1.5,b'Ideal',b'G',b'SI1',62.0,56.0,11079.0,7.29,7.33,4.53
20060,0.31,b'Very Good',b'F',b'VS2',62.9,58.0,625.0,4.27,4.31,2.7
45795,0.51,b'Premium',b'E',b'VS2',62.5,60.0,1709.0,5.1,5.08,3.18
51168,0.71,b'Ideal',b'F',b'SI1',62.7,55.0,2346.0,5.65,5.74,3.57
43318,0.51,b'Premium',b'E',b'SI1',61.2,61.0,1402.0,5.16,5.13,3.15
7184,1.01,b'Very Good',b'I',b'SI1',59.7,60.0,4186.0,6.49,6.55,3.89
11943,1.1,b'Good',b'H',b'SI1',63.6,58.0,5131.0,6.55,6.5,4.15
43521,0.5,b'Ideal',b'G',b'VS2',62.6,57.0,1424.0,5.11,5.05,3.18
40258,0.4,b'Premium',b'H',b'VVS2',60.9,58.0,1125.0,4.79,4.74,2.9
40248,0.5,b'Very Good',b'F',b'SI2',62.9,63.0,1125.0,4.99,4.93,3.12
50529,0.7,b'Very Good',b'I',b'VS1',62.4,59.0,2274.0,5.55,5.64,3.49
37752,0.38,b'Premium',b'F',b'VS1',60.9,58.0,998.0,4.71,4.68,2.86
26477,2.0,b'Very Good',b'E',b'SI2',62.9,56.0,16064.0,7.94,8.0,5.01
49436,0.54,b'Ideal',b'F',b'VVS2',61.0,57.0,2109.0,5.26,5.3,3.22
3064,0.73,b'Ideal',b'E',b'VS1',62.3,56.0,3311.0,5.8,5.75,3.6
12505,0.91,b'Very Good',b'E',b'VS1',61.9,59.0,5259.0,6.17,6.23,3.84
40759,0.51,b'Premium',b'H',b'SI1',60.0,61.0,1163.0,5.2,5.17,3.11
19052,1.02,b'Ideal',b'F',b'VS1',62.2,57.0,7836.0,6.39,6.43,3.99
44639,0.54,b'Ideal',b'E',b'VS2',61.7,55.0,1609.0,5.23,5.2,3.22
50281,0.3,b'Very Good',b'H',b'VS1',61.9,55.0,541.0,4.32,4.37,2.69
32812,0.34,b'Ideal',b'D',b'VS2',61.3,57.0,805.0,4.47,4.5,2.75
36840,0.37,b'Very Good',b'G',b'VS1',63.1,56.0,957.0,4.59,4.57,2.89
42737,0.51,b'Good',b'G',b'VS2',63.9,56.0,1343.0,5.07,5.1,3.25
53550,0.9,b'Good',b'J',b'SI2',63.9,56.0,2693.0,6.1,6.17,3.92
35266,0.3,b'Ideal',b'G',b'IF',60.9,57.0,895.0,4.29,4.32,2.62
53535,0.9,b'Good',b'J',b'VS2',64.1,56.0,2691.0,6.12,6.08,3.91
30156,0.3,b'Ideal',b'E',b'SI1',61.4,56.0,720.0,4.36,4.33,2.67
42120,0.5,b'Good',b'F',b'VS2',57.8,63.0,1279.0,5.2,5.15,2.99
10733,0.33,b'Premium',b'I',b'VS2',62.0,60.0,594.0,4.46,4.41,2.75
30467,0.31,b'Very Good',b'D',b'SI1',63.1,57.0,732.0,4.32,4.3,2.72
24321,2.0,b'Premium',b'D',b'SI2',59.3,62.0,12576.0,8.12,8.06,4.8
26244,1.51,b'Ideal',b'F',b'VS2',62.4,53.0,15688.0,7.37,7.32,4.58
33775,0.35,b'Very Good',b'G',b'VVS1',61.2,57.0,842.0,4.55,4.58,2.79
1803,0.79,b'Very Good',b'E',b'SI1',63.2,56.0,3053.0,5.91,5.83,3.71
44533,0.51,b'Premium',b'D',b'SI1',62.0,59.0,1602.0,5.15,5.11,3.18
1106,0.91,b'Premium',b'I',b'SI2',62.0,59.0,2913.0,6.18,6.23,3.85
33345,0.41,b'Premium',b'G',b'VS2',62.6,58.0,827.0,4.71,4.74,2.96
30537,0.31,b'Ideal',b'D',b'VS2',61.5,56.0,734.0,4.37,4.41,2.7
19235,1.55,b'Premium',b'I',b'SI2',58.5,60.0,7972.0,7.64,7.58,4.45
49709,0.57,b'Ideal',b'G',b'VVS2',61.9,56.0,2147.0,5.3,5.29,3.28
13819,1.53,b'Ideal',b'H',b'SI2',59.6,57.0,5631.0,7.46,7.38,4.42
29681,0.35,b'Ideal',b'F',b'SI1',61.1,56.0,707.0,4.56,4.58,2.79
5181,0.83,b'Ideal',b'D',b'SI2',62.0,55.0,3774.0,6.02,6.05,3.74
32351,0.3,b'Ideal',b'E',b'VVS2',61.9,57.0,789.0,4.28,4.31,2.66
323,1.04,b'Premium',b'G',b'I1',62.2,58.0,2801.0,6.46,6.41,4.0
27064,2.03,b'Ideal',b'G',b'SI2',61.1,57.0,17182.0,8.16,8.21,5.0
38446,0.36,b'Ideal',b'F',b'VVS1',61.0,55.0,1028.0,4.6,4.62,2.81
49965,0.3,b'Premium',b'E',b'SI2',62.7,59.0,540.0,4.26,4.22,2.66
18367,0.39,b'Good',b'J',b'VS1',63.1,56.0,616.0,4.62,4.7,2.94
23623,1.37,b'Ideal',b'F',b'VS1',59.6,57.0,11649.0,7.28,7.22,4.32
41720,0.41,b'Ideal',b'E',b'VVS2',61.6,56.0,1243.0,4.8,4.78,2.95
18434,1.0,b'Good',b'D',b'VS1',57.8,61.0,7500.0,6.62,6.56,3.81
52332,0.56,b'Premium',b'E',b'VVS2',59.2,56.0,2496.0,5.49,5.39,3.22
36998,0.39,b'Very Good',b'F',b'VVS2',61.7,56.0,965.0,4.7,4.74,2.91
30546,0.31,b'Ideal',b'D',b'VS2',62.0,55.0,734.0,4.33,4.35,2.69
16826,1.51,b'Premium',b'J',b'SI2',61.9,56.0,6712.0,7.44,7.29,4.56
14757,1.01,b'Ideal',b'D',b'SI1',62.0,57.0,5939.0,6.44,6.37,3.97
15188,1.21,b'Premium',b'H',b'SI2',58.8,60.0,6098.0,6.99,6.95,4.1
41033,0.41,b'Ideal',b'E',b'VVS2',62.3,56.0,1187.0,4.75,4.78,2.97
15914,1.06,b'Ideal',b'F',b'SI1',61.7,55.0,6363.0,6.58,6.56,4.06
32064,0.33,b'Premium',b'D',b'SI1',60.1,59.0,780.0,4.49,4.46,2.69
19983,1.11,b'Very Good',b'F',b'VS1',60.7,55.0,8528.0,6.69,6.71,4.07
40549,0.4,b'Ideal',b'E',b'VS2',61.4,57.0,1150.0,4.78,4.75,2.92
48837,0.55,b'Ideal',b'D',b'VS2',61.4,57.0,2030.0,5.31,5.27,3.25
40567,0.57,b'Ideal',b'H',b'SI2',61.5,55.0,1151.0,5.35,5.38,3.3
11538,0.97,b'Ideal',b'D',b'SI1',62.8,56.0,5028.0,6.24,6.3,3.94
2744,0.7,b'Ideal',b'E',b'VS1',62.1,55.0,3248.0,5.72,5.77,3.57
48920,0.7,b'Very Good',b'G',b'SI1',62.5,60.0,2042.0,5.64,5.68,3.54
950,0.5,b'Ideal',b'E',b'VVS2',62.2,54.0,2889.0,5.08,5.12,3.17
20722,0.31,b'Ideal',b'F',b'VS2',62.4,56.0,625.0,4.31,4.34,2.7
4062,0.31,b'Premium',b'D',b'SI1',62.0,58.0,571.0,4.3,4.35,2.68
3510,1.14,b'Fair',b'J',b'SI2',64.4,55.0,3403.0,6.56,6.54,4.22
